cs	Kam jede tento autobus?
cs	Můžete mi ukázat na mapě?
cs	Kolik stojí pokoj pro dvě osoby?
cs	Ukliďte mi prosím pokoj.
cs	Kde si můžu směnit peníze?
cs	Vím, že tohle není běžná cena.
cs	Neudělal jsem nic špatného.
cs	To bylo nedorozumění.
cs	Strč prst skrz krk
cs	Prd krt skrz drn, zprv zhlt hrst zrn
bg	Ти си добре дошъл!
bg	Вървете направо! После завивате на ляво!
bg	Искаш ли да ходим на театър?
bg	Говорите ли български?
et	elas metsas mutionu, keset kuuski noori-vanu
et	põdral maja metsa sees, väiksest aknast välja vaatas
pl	Jak się masz?
pl	Dziękuję, dobrze.
pl	Czy ktoś tu mówi po angielsku?
pl	Nie rozumiem
pl	Czy mogę zadzwonić od pani?
pl	Ile kosztuje pokój dla dwóch osób?
pl	Czy jest w moim rozmiarze?
pl	Czy mogę dostać ubezpiecznie?
pl	Czy jestem aresztowany?
pl	Chcę rozmawiać przez tłumacza języka angielskiego.
ca	Que hi ha algú que parli anglès?
ca	He perdut la meva cartera
ca	Puc utilitzar el seu telèfon?
ca	Com ho faig per arribar a a l'estació d'autobusos?
ca	Pots indicar-me al mapa?
ca	Teniu alguna habitació disponible?
ca	Si us plau, netegeu la meva habitació.
ca	Teniu cap especialitat de la casa?
ca	Teniu això en la meva talla?
ca	Puc simplement pagar una multa ara?
